competition,match_id,date,season,team,opponent,win,chase,close_game,run_diff,runs,legal_balls_faced,runs_allowed,legal_balls_bowled,wickets_lost,wickets_taken,dot_balls_bat,dot_balls_bowl,boundaries,pp_runs,pp_legal_balls,death_runs,death_legal_balls,fielding_dismissals,run_rate,runs_per_ball,dot_ball_rate_bat,dot_ball_rate_bowl,bowler_wkts_per_match,powerplay_economy,death_economy,runs_allowed_per_legal_ball,boundary_rate_per_ball,death_run_rate,powerplay_run_rate,fielding_dismissals_per_match,n_matches,EDGE
LPL,1537347,2026-07-29,2026,Colombo Kaps,Dambulla Sixers,1,1,0,3,177,114,174,120,6,5,41,39,29,56,36,28,24,6,9.31578947368421,1.5526315789473684,0.35964912280701755,0.325,5,9.333333333333334,7.0,1.45,0.2543859649122807,7.0,9.333333333333334,6,10,44.0
LPL,1537348,2026-07-30,2026,Jaffna Kings,Kandy Royals,1,0,0,21,221,120,200,120,6,10,31,38,25,79,36,79,30,9,11.049999999999999,1.8416666666666666,0.25833333333333336,0.31666666666666665,10,13.166666666666668,15.8,1.6666666666666667,0.20833333333333334,15.8,13.166666666666668,9,9,84.0
LPL,1537348,2026-07-30,2026,Kandy Royals,Jaffna Kings,0,1,0,-21,200,120,221,120,10,6,38,31,27,80,36,47,30,9,10.0,1.6666666666666667,0.31666666666666665,0.25833333333333336,6,13.333333333333334,9.4,1.8416666666666666,0.225,9.4,13.333333333333334,9,9,12.0
LPL,1537349,2026-08-01,2026,Galle Gallants,Colombo Kaps,1,0,0,13,201,120,188,118,6,10,41,41,27,71,36,61,30,10,10.05,1.675,0.3416666666666667,0.3474576271186441,10,11.833333333333334,12.2,1.5932203389830508,0.225,12.2,11.833333333333334,10,11,84.0
LPL,1537349,2026-08-01,2026,Colombo Kaps,Galle Gallants,0,1,0,-13,188,118,201,120,10,6,41,41,26,62,36,45,28,10,9.559322033898304,1.5932203389830508,0.3474576271186441,0.3416666666666667,6,10.333333333333334,9.642857142857142,1.675,0.22033898305084745,9.642857142857142,10.333333333333334,10,10,44.0
LPL,1537351,2026-08-05,2026,Jaffna Kings,Galle Gallants,1,0,0,14,242,120,228,120,2,8,33,38,35,58,36,71,30,9,12.1,2.0166666666666666,0.275,0.31666666666666665,8,9.666666666666668,14.2,1.9,0.2916666666666667,14.2,9.666666666666668,9,9,84.0
LPL,1537351,2026-08-05,2026,Galle Gallants,Jaffna Kings,0,1,0,-14,228,120,242,120,8,2,38,33,35,81,36,62,30,9,11.399999999999999,1.9,0.31666666666666665,0.275,2,13.5,12.400000000000002,2.0166666666666666,0.2916666666666667,12.400000000000002,13.5,9,11,84.0
LPL,1537352,2026-08-05,2026,Colombo Kaps,Kandy Royals,1,0,0,68,203,120,135,112,7,10,34,49,27,56,36,53,30,14,10.15,1.6916666666666667,0.2833333333333333,0.4375,10,9.333333333333334,10.6,1.2053571428571428,0.225,10.6,9.333333333333334,14,10,44.0
LPL,1537352,2026-08-05,2026,Kandy Royals,Colombo Kaps,0,1,0,-68,135,112,203,120,10,7,49,34,16,63,36,21,22,14,7.232142857142857,1.2053571428571428,0.4375,0.2833333333333333,7,10.5,5.7272727272727275,1.6916666666666667,0.14285714285714285,5.7272727272727275,10.5,14,9,12.0
LPL,1537353,2026-08-07,2026,Colombo Kaps,Galle Gallants,0,0,0,-1,176,113,177,112,10,4,32,34,21,52,36,39,23,9,9.345132743362832,1.5575221238938053,0.2831858407079646,0.30357142857142855,4,8.666666666666666,10.173913043478262,1.5803571428571428,0.18584070796460178,10.173913043478262,8.666666666666666,9,10,44.0
LPL,1537353,2026-08-07,2026,Galle Gallants,Colombo Kaps,1,1,0,1,177,112,176,113,4,10,34,32,21,55,36,41,22,9,9.482142857142858,1.5803571428571428,0.30357142857142855,0.2831858407079646,10,9.166666666666666,11.181818181818182,1.5575221238938053,0.1875,11.181818181818182,9.166666666666666,9,11,84.0
LPL,1537354,2026-08-08,2026,Jaffna Kings,Galle Gallants,0,0,0,-3,123,117,126,95,10,5,45,33,12,41,36,23,27,11,6.307692307692308,1.0512820512820513,0.38461538461538464,0.3473684210526316,5,6.833333333333333,5.111111111111111,1.3263157894736841,0.10256410256410256,5.111111111111111,6.833333333333333,11,9,84.0
LPL,1537354,2026-08-08,2026,Galle Gallants,Jaffna Kings,1,1,0,3,126,95,123,117,5,10,33,45,16,51,36,15,5,11,7.957894736842105,1.3263157894736841,0.3473684210526316,0.38461538461538464,10,8.5,18.0,1.0512820512820513,0.16842105263157894,18.0,8.5,11,11,84.0
